GeneID	Symbol	Description	log2(fold change)(SkinLesion-PsA vs HealthySkin)	-log10(Pvalue)(SkinLesion-PsA vs HealthySkin)
2879	GPX4	glutathione peroxidase 4	-0.56	1.786
22904	SBNO2	strawberry notch homolog 2	1.473	29.853
90007	MIDN	midnolin	0.698	4.535
1153	CIRBP	cold inducible RNA binding protein	-0.796	8.552
2593	GAMT	guanidinoacetate N-methyltransferase	-0.978	4.821
26528	DAZAP1	DAZ associated protein 1	0.604	12.005
6209	RPS15	ribosomal protein S15	-0.67	4.158
10297	APC2	APC regulator of WNT signaling pathway 2	-0.509	2.222
92840	REEP6	receptor accessory protein 6	-0.568	1.353
1455	CSNK1G2	casein kinase 1 gamma 2	0.658	16.579
8943	AP3D1	adaptor related protein complex 3 subunit delta 1	0.662	7.904
84444	DOT1L	DOT1 like histone lysine methyltransferase	0.561	3.09
374872	PEAK3	PEAK family member 3	-0.862	1.487
360200	TMPRSS9	transmembrane serine protease 9	-0.913	2.406
84823	LMNB2	lamin B2	1.547	19.028
2788	GNG7	G protein subunit gamma 7	-1.213	6.545
148252	DIRAS1	DIRAS family GTPase 1	-1.594	21.553
7089	TLE2	TLE family member 2, transcriptional corepressor	-1.551	25.362
166	TLE5	TLE family member 5, transcriptional modulator	-0.518	4.995
2769	GNA15	G protein subunit alpha 15	1.496	19.821
100996351	GNA15-DT	GNA15 divergent transcript	1.514	18.315
8698	S1PR4	sphingosine-1-phosphate receptor 4	1.586	7.141
56926	NCLN	nicalin	0.66	5.918
60680	CELF5	CUGBP Elav-like family member 5	-1.413	3.799
83475	DOHH	deoxyhypusine hydroxylase	0.681	6.42
105372245	LOC105372245	uncharacterized LOC105372245	0.681	3.597
100128569	TEKTIP1	tektin bundle interacting protein 1	-0.519	1.438
126326	GIPC3	GIPC PDZ domain containing family member 3	-0.632	2.834
6915	TBXA2R	thromboxane A2 receptor	-0.736	3.269
27134	TJP3	tight junction protein 3	-0.845	3.635
4145	MATK	megakaryocyte-associated tyrosine kinase	0.839	2.613
51341	ZBTB7A	zinc finger and BTB domain containing 7A	0.629	6.311
170961	ANKRD24	ankyrin repeat domain 24	-2.3	10.605
10148	EBI3	Epstein-Barr virus induced 3	1.968	6.278
729359	PLIN4	perilipin 4	-1.332	2.333
116844	LRG1	leucine rich alpha-2-glycoprotein 1	2.015	3.531
126282	TNFAIP8L1	TNF alpha induced protein 8 like 1	0.697	6.372
10226	PLIN3	perilipin 3	0.557	2.895
645432	ARRDC5	arrestin domain containing 5	0.562	2.663
29128	UHRF1	ubiquitin like with PHD and ring finger domains 1	1.888	19.956
5802	PTPRS	protein tyrosine phosphatase receptor type S	-0.574	2.745
257000	TINCR	TINCR ubiquitin domain containing	-0.586	3.066
374875	HSD11B1L	hydroxysteroid 11-beta dehydrogenase 1 like	-0.986	9.233
25873	RPL36	ribosomal protein L36	-0.535	2.38
4902	NRTN	neurturin	-1.146	3.683
2528	FUT6	fucosyltransferase 6	2.25	12.457
2525	FUT3	fucosyltransferase 3 (Lewis blood group)	2.878	27.143
2527	FUT5	fucosyltransferase 5	1.799	6.469
400673	VMAC	vimentin type intermediate filament associated coiled-coil protein	-0.677	3.757
828	CAPS	calcyphosine	-1.307	8.724
100128568	RANBP3-DT	RANBP3 divergent transcript	-1.109	2.424
5990	RFX2	regulatory factor X2	-0.857	1.945
8192	CLPP	caseinolytic mitochondrial matrix peptidase proteolytic subunit	0.52	3.987
8570	KHSRP	KH-type splicing regulatory protein	0.565	6.355
100500888	MIR3940	microRNA 3940	0.661	5.169
8744	TNFSF9	TNF superfamily member 9	1.871	6.931
8740	TNFSF14	TNF superfamily member 14	0.921	2.458
7409	VAV1	vav guanine nucleotide exchange factor 1	0.793	2.756
326342	ADGRE4P	adhesion G protein-coupled receptor E4, pseudogene	-1.326	3.632
140467	ZNF358	zinc finger protein 358	-0.712	6.667
57662	CAMSAP3	calmodulin regulated spectrin associated protein family member 3	-1.138	10.654
126006	PCP2	Purkinje cell protein 2	-1.789	10.834
339390	CLEC4G	C-type lectin domain family 4 member G	1.534	2.119
30835	CD209	CD209 molecule	1.393	3.205
440508	CLEC4GP1	C-type lectin domain family 4 member G pseudogene 1	-1.044	1.478
80164	PRR36	proline rich 36	-0.994	4.933
100507588	TGFBR3L	transforming growth factor beta receptor 3 like	-1.331	4.357
404217	CTXN1	cortexin 1	-1.05	4.645
84467	FBN3	fibrillin 3	-2.382	5.285
256949	KANK3	KN motif and ankyrin repeat domains 3	-0.586	3.823
51129	ANGPTL4	angiopoietin like 4	2.365	16.938
4670	HNRNPM	heterogeneous nuclear ribonucleoprotein M	0.621	6.704
84106	PRAM1	PML-RARA regulated adaptor molecule 1	-1.456	6.239
4542	MYO1F	myosin IF	0.917	5.194
81794	ADAMTS10	ADAM metallopeptidase with thrombospondin type 1 motif 10	-0.967	3.173
94025	MUC16	mucin 16, cell surface associated	-3.295	6.369
84527	ZNF559	zinc finger protein 559	-1.279	21.976
100529215	ZNF559-ZNF177	ZNF559-ZNF177 readthrough	-1.857	14.542
7730	ZNF177	zinc finger protein 177	-2.127	11.347
10781	ZNF266	zinc finger protein 266	-0.956	5.826
93134	ZNF561	zinc finger protein 561	0.537	4.59
284385	ZNF561-AS1	ZNF561 antisense RNA 1 (head to head)	-0.736	5.073
54811	ZNF562	zinc finger protein 562	0.887	6.035
729648	ZNF812P	zinc finger protein 812, pseudogene	4.232	19.072
100505555	LOC100505555	uncharacterized LOC100505555	-0.807	1.56
93145	OLFM2	olfactomedin 2	-0.672	8.17
50509	COL5A3	collagen type V alpha 3 chain	-0.537	1.756
55337	SHFL	shiftless antiviral inhibitor of ribosomal frameshifting	0.889	5.227
83854	ANGPTL6	angiopoietin like 6	0.789	4.491
56342	PPAN	peter pan homolog	0.512	3.809
1786	DNMT1	DNA methyltransferase 1	1.039	9.851
51073	MRPL4	mitochondrial ribosomal protein L4	0.558	5.109
3383	ICAM1	intercellular adhesion molecule 1	1.214	5.343
7087	ICAM5	intercellular adhesion molecule 5	1.309	5.69
100125288	ZGLP1	zinc finger GATA like protein 1	-0.894	3.248
9817	KEAP1	kelch like ECH associated protein 1	0.504	9.929
53637	S1PR5	sphingosine-1-phosphate receptor 5	0.583	2.642
147727	ILF3-DT	ILF3 divergent transcript	-0.868	9.777
255809	C19orf38	chromosome 19 open reading frame 38	0.693	1.38
6597	SMARCA4	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4	0.516	6.041
115271120	LDLR-AS1	LDLR antisense RNA 1	1.806	7.435
3949	LDLR	low density lipoprotein receptor	1.618	12.044
147841	SPC24	SPC24 component of NDC80 kinetochore complex	1.242	7.502
25959	KANK2	KN motif and ankyrin repeat domains 2	-0.749	6.978
105372273	LOC105372273	uncharacterized LOC105372273	-0.715	1.383
9545	RAB3D	RAB3D, member RAS oncogene family	0.63	6.44
374882	TMEM205	transmembrane protein 205	-0.581	6.454
126075	CCDC159	coiled-coil domain containing 159	-0.863	6.162
2057	EPOR	erythropoietin receptor	-0.715	3.628
57139	RGL3	ral guanine nucleotide dissociation stimulator like 3	-1.632	7.062
1264	CNN1	calponin 1	-2.211	4.886
54	ACP5	acid phosphatase 5, tartrate resistant	1.647	35.277
126068	ZNF441	zinc finger protein 441	-0.773	5.683
126069	ZNF491	zinc finger protein 491	-0.827	3.161
90594	ZNF439	zinc finger protein 439	-0.637	2.722
7620	ZNF69	zinc finger protein 69	-0.763	3.631
101928464	ZNF433-AS1	ZNF433 and ZNF878 antisense RNA 1	-0.506	1.776
163059	ZNF433	zinc finger protein 433	-0.826	6.655
7695	ZNF136	zinc finger protein 136	-0.594	7.351
51710	ZNF44	zinc finger protein 44	-0.604	5.121
79973	ZNF442	zinc finger protein 442	-0.521	2.385
57474	ZNF490	zinc finger protein 490	0.55	2.696
105372279	LOC105372279	uncharacterized LOC105372279	-0.616	2.86
1725	DHPS	deoxyhypusine synthase	-0.562	8.509
54831	BEST2	bestrophin 2	-2.19	7.836
3726	JUNB	JunB proto-oncogene, AP-1 transcription factor subunit	1.203	15.908
22983	MAST1	microtubule associated serine/threonine kinase 1	-1.447	7.648
256126	SYCE2	synaptonemal complex central element protein 2	-0.773	2.374
2193	FARSA	phenylalanyl-tRNA synthetase subunit alpha	0.602	6.646
106144598	FARSA-AS1	FARSA antisense RNA 1	0.558	2.948
811	CALR	calreticulin	0.857	7.83
112939	NACC1	nucleus accumbens associated 1	0.801	8.24
9592	IER2	immediate early response 2	0.917	15.207
65249	ZSWIM4	zinc finger SWIM-type containing 4	0.936	8.764
284454	MIR23AHG	miR-23a/27a/24-2 cluster host gene	-1.041	6.38
9466	IL27RA	interleukin 27 receptor subunit alpha	0.615	3.61
342979	PALM3	paralemmin 3	-1.476	5.186
113230	MISP3	MISP family member 3	-1.6	19.471
55723	ASF1B	anti-silencing function 1B histone chaperone	1.701	17.369
10212	DDX39A	DExD-box helicase 39A	0.836	9.238
10755	GIPC1	GIPC PDZ domain containing family member 1	0.849	22.569
3337	DNAJB1	DnaJ heat shock protein family (Hsp40) member B1	0.565	3.238
84449	ZNF333	zinc finger protein 333	-0.651	4.907
30817	ADGRE2	adhesion G protein-coupled receptor E2	0.59	2.119
6511	SLC1A6	solute carrier family 1 member 6	-2.112	6.556
23581	CASP14	caspase 14	0.737	1.942
79852	EPHX3	epoxide hydrolase 3	1.487	42.96
64926	RASAL3	RAS protein activator like 3	1.079	6.912
114770	PGLYRP2	peptidoglycan recognition protein 2	2.716	16.868
126410	CYP4F22	cytochrome P450 family 4 subfamily F member 22	1.438	22.774
11283	CYP4F8	cytochrome P450 family 4 subfamily F member 8	-4.568	5.903
66002	CYP4F12	cytochrome P450 family 4 subfamily F member 12	-0.811	2.11
388514	CYP4F24P	cytochrome P450 family 4 subfamily F member 24, pseudogene	-1.893	4.162
652995	UCA1	urothelial cancer associated 1	1.234	2.623
105369202	LOC105369202	replaced by ID 102724279	-1.253	1.817
57834	CYP4F11	cytochrome P450 family 4 subfamily F member 11	2.463	2.168
84941	HSH2D	hematopoietic SH2 domain containing	1.587	7.337
10365	KLF2	KLF transcription factor 2	-1.054	7.392
79939	SLC35E1	solute carrier family 35 member E1	0.731	10.171
79041	TMEM38A	transmembrane protein 38A	-1.033	5.608
284434	NWD1	NACHT and WD repeat domain containing 1	-1.145	1.584
9002	F2RL3	F2R like thrombin or trypsin receptor 3	0.954	1.331
27151	CPAMD8	C3 and PZP like alpha-2-macroglobulin domain containing 8	-1.22	6.057
83878	USHBP1	USH1 protein network component harmonin binding protein 1	-0.677	2.101
126549	ANKLE1	ankyrin repeat and LEM domain containing 1	-0.824	2.474
83483	PLVAP	plasmalemma vesicle associated protein	0.527	1.924
684	BST2	bone marrow stromal cell antigen 2	0.655	1.55
105221694	BISPR	BST2 interferon stimulated positive regulator	0.759	3.069
100130519	TMEM221	transmembrane protein 221	-1.201	2.726
376497	SLC27A1	solute carrier family 27 member 1	-0.632	4.684
199786	NIBAN3	niban apoptosis regulator 3	0.512	2.474
23025	UNC13A	unc-13 homolog A	1.085	1.936
23149	FCHO1	FCH and mu domain containing endocytic adaptor 1	-0.556	1.797
10331	B3GNT3	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 3	1.082	1.824
3718	JAK3	Janus kinase 3	1.289	6.791
3594	IL12RB1	interleukin 12 receptor subunit beta 1	2.228	15.396
5296	PIK3R2	phosphoinositide-3-kinase regulatory subunit 2	0.68	8.901
10437	IFI30	IFI30 lysosomal thiol reductase	0.712	2.879
84769	MPV17L2	MPV17 mitochondrial inner membrane protein like 2	0.548	3.842
5143	PDE4C	phosphodiesterase 4C	-1.097	1.895
80726	IQCN	IQ motif containing N	-2.317	10.338
3727	JUND	JunD proto-oncogene, AP-1 transcription factor subunit	-0.551	2.816
126364	LRRC25	leucine rich repeat containing 25	0.975	1.803
51477	ISYNA1	inositol-3-phosphate synthase 1	-0.925	5.447
55049	REX1BD	required for excision 1-B domain containing	-0.601	4.58
23373	CRTC1	CREB regulated transcription coactivator 1	-0.751	5.164
1311	COMP	cartilage oligomeric matrix protein	2.207	2.536
10715	CERS1	ceramide synthase 1	-0.862	1.81
9454	HOMER3	homer scaffold protein 3	0.563	4.196
284439	SLC25A42	solute carrier family 25 member 42	-0.683	4.173
100271849	MEF2B	myocyte enhancer factor 2B	-0.768	5.306
374887	YJEFN3	YjeF N-terminal domain containing 3	-1.543	4.896
148113	CILP2	cartilage intermediate layer protein 2	-3.433	12.005
80714	PBX4	PBX homeobox 4	-1.224	4.226
9170	LPAR2	lysophosphatidic acid receptor 2	-0.72	5.68
7561	ZNF14	zinc finger protein 14	-0.641	6.71
284440	LINC00663	long intergenic non-protein coding RNA 663	-1.932	17.286
112267872	LOC112267872		-1.036	6.354
91120	ZNF682	zinc finger protein 682	-1.186	4.204
7643	ZNF90	zinc finger protein 90	-0.708	1.49
105372310	LOC105372310	uncharacterized LOC105372310	-0.93	1.455
90649	ZNF486	zinc finger protein 486	-0.741	2.812
100129842	ZNF737	zinc finger protein 737	-1.072	5.452
199777	ZNF626	zinc finger protein 626	-0.932	9.404
284443	ZNF493	zinc finger protein 493	-1.052	6.848
105372321	LOC105372321	uncharacterized LOC105372321	-1.9	4.854
353088	ZNF429	zinc finger protein 429	-0.939	5.949
101929007	LOC101929007	uncharacterized LOC101929007	-1.607	2.19
7594	ZNF43	zinc finger protein 43	-1.039	4.983
7757	ZNF208	zinc finger protein 208	-0.993	1.454
100132815	IPO5P1	importin 5 pseudogene 1	-1.407	4.247
7644	ZNF91	zinc finger protein 91	-1.016	8.514
107985285	LOC107985285	uncharacterized LOC107985285	-2.185	7.851
104472717	LINC01224	long intergenic non-protein coding RNA 1224	-2.927	7.19
730087	ZNF726	zinc finger protein 726	-1.201	4.43
9534	ZNF254	zinc finger protein 254	-0.72	1.924
105372352	UQCRFS1-DT	UQCRFS1 divergent transcript	-1.264	2.602
898	CCNE1	cyclin E1	2.116	26.043
9745	ZNF536	zinc finger protein 536	-1.728	5.079
388531	RGS9BP	regulator of G protein signaling 9 binding protein	-2.42	2.883
91646	TDRD12	tudor domain containing 12	-2.562	6.345
11136	SLC7A9	solute carrier family 7 member 9	-1.48	2.546
91442	FAAP24	FA core complex associated protein 24	0.502	2.5
85415	RHPN2	rhophilin Rho GTPase binding protein 2	-2.131	4.48
126248	WDR88	WD repeat domain 88	-0.519	1.668
56301	SLC7A10	solute carrier family 7 member 10	-1.392	2.975
80054	CEBPA-DT	CEBPA divergent transcript	-0.541	1.819
2821	GPI	glucose-6-phosphate isomerase	0.647	6.626
100129800	ZNF807P	zinc finger protein 807, pseudogene	-0.766	1.561
643719	SCGB1B2P	secretoglobin family 1B member 2, pseudogene	-2.977	7.577
284402	SCGB2B2	secretoglobin family 2B member 2	-1.891	7.111
55900	ZNF302	zinc finger protein 302	-0.903	7.661
339318	ZNF181	zinc finger protein 181	-0.537	3.615
148103	ZNF599	zinc finger protein 599	-0.848	5.327
6324	SCN1B	sodium voltage-gated channel beta subunit 1	-0.669	2.905
3249	HPN	hepsin	-1.881	3.919
163175	LGI4	leucine rich repeat LGI family member 4	-1.1	4.71
5348	FXYD1	FXYD domain containing ion transport regulator 1	-1.582	7.617
933	CD22	CD22 molecule	1.752	2.669
101927522	LOC101927522	uncharacterized LOC101927522	1.54	5.03
2867	FFAR2	free fatty acid receptor 2	1.792	9.001
374897	SBSN	suprabasin	0.789	9.64
26330	GAPDHS	glyceraldehyde-3-phosphate dehydrogenase, spermatogenic	-0.521	2.585
2116	ETV2	ETS variant transcription factor 2	-0.507	1.304
199746	U2AF1L4	U2 small nuclear RNA auxiliary factor 1 like 4	-1.016	5.864
126393	HSPB6	heat shock protein family B (small) member 6	-1.261	3.681
115703	ARHGAP33	Rho GTPase activating protein 33	-0.749	2.123
79414	LRFN3	leucine rich repeat and fibronectin type III domain containing 3	0.59	6.397
163183	SYNE4	spectrin repeat containing nuclear envelope family member 4	-1.982	5.938
1346	COX7A1	cytochrome c oxidase subunit 7A1	-1.809	9.874
57677	ZFP14	ZFP14 zinc finger protein	-0.823	5.34
84924	ZNF566	zinc finger protein 566	-0.628	6.609
57711	ZNF529	zinc finger protein 529	-0.782	7.213
101927599	ZNF529-AS1	ZNF529 antisense RNA 1	-0.612	3.659
84911	ZNF382	zinc finger protein 382	-0.705	1.647
92283	ZNF461	zinc finger protein 461	-0.899	9.355
163081	ZNF567	zinc finger protein 567	-0.512	3.271
101927621	ZNF567-DT	ZNF567 divergent transcript	-0.909	2.807
342892	ZNF850	zinc finger protein 850	-0.836	4.168
284408	ZNF790-AS1	ZNF790 antisense RNA 1	-1.129	7.622
25850	ZNF345	zinc finger protein 345	-0.811	6.004
374900	ZNF568	zinc finger protein 568	-0.652	7.387
92285	ZNF585B	zinc finger protein 585B	-0.521	2.89
163087	ZNF383	zinc finger protein 383	-0.522	5.63
284459	ZNF875	zinc finger protein 875	-0.654	5.902
148266	ZNF569	zinc finger protein 569	-0.717	5.505
101927720	ZNF793-AS1	ZNF793 antisense RNA 1 (head to head)	-1.209	4.351
390927	ZNF793	zinc finger protein 793	-0.731	3.727
100507433	ZNF571-AS1	ZNF571 antisense RNA 1	-0.939	4.677
163255	ZNF540	zinc finger protein 540	-1.604	8.657
163115	ZNF781	zinc finger protein 781	-1.432	4.263
84775	ZNF607	zinc finger protein 607	-0.572	2.147
644554	LOC644554	uncharacterized LOC644554	-1.606	3.876
94274	PPP1R14A	protein phosphatase 1 regulatory inhibitor subunit 14A	-1.868	5.389
9424	KCNK6	potassium two pore domain channel subfamily K member 6	1.428	34.912
57828	CATSPERG	cation channel sperm associated auxiliary subunit gamma	-1.74	8.406
199720	GGN	gametogenetin	-0.628	1.497
147965	FAM98C	family with sequence similarity 98 member C	-0.506	8.039
11184	MAP4K1	mitogen-activated protein kinase kinase kinase kinase 1	0.657	2.421
3960	LGALS4	galectin 4	-1.693	4.037
4793	NFKBIB	NFKB inhibitor beta	0.587	7.448
643669	CCER2	coiled-coil glutamate rich protein 2	-0.978	7.329
6183	MRPS12	mitochondrial ribosomal protein S12	0.593	4.006
115290	FBXO17	F-box protein 17	-0.804	12.964
390928	ACP7	acid phosphatase 7, tartrate resistant (putative)	3.061	27.89
342897	NCCRP1	NCCRP1, F-box associated domain containing	1.198	17.943
57622	LRFN1	leucine rich repeat and fibronectin type III domain containing 1	-0.591	2.802
54623	PAF1	PAF1 homolog, Paf1/RNA polymerase II complex component	0.514	8.413
7538	ZFP36	ZFP36 ring finger protein	0.63	4.727
126272	EID2B	EP300 interacting inhibitor of differentiation 2B	-0.623	1.622
8857	FCGBP	Fc gamma binding protein	-1.279	3.016
5704	PSMC4	proteasome 26S subunit, ATPase 4	0.775	11.107
339327	ZNF546	zinc finger protein 546	-0.611	2.001
284323	ZNF780A	zinc finger protein 780A	0.764	2.956
147746	HIPK4	homeodomain interacting protein kinase 4	-1.108	2.395
57716	PRX	periaxin	-0.798	8.212
29950	SERTAD1	SERTA domain containing 1	0.989	6.484
57731	SPTBN4	spectrin beta, non-erythrocytic 4	-1.321	7.691
8425	LTBP4	latent transforming growth factor beta binding protein 4	-0.588	3.831
9253	NUMBL	NUMB like endocytic adaptor protein	-0.761	7.121
80271	ITPKC	inositol-trisphosphate 3-kinase C	0.63	6.96
8190	MIA	MIA SH3 domain containing	-1.367	5.195
171523	CYP2T1P	cytochrome P450 family 2 subfamily T member 1, pseudogene	-0.783	4.519
29785	CYP2S1	cytochrome P450 family 2 subfamily S member 1	2.031	19.577
558	AXL	AXL receptor tyrosine kinase	-0.634	3.37
7040	TGFB1	transforming growth factor beta 1	0.724	7.687
641649	TMEM91	transmembrane protein 91	-1.356	2.38
100505495	PCAT19	prostate cancer associated transcript 19	-0.685	2.186
90273	CEACAM21	CEA cell adhesion molecule 21	1.274	3.423
105372405	LOC105372405	uncharacterized LOC105372405	2.52	9.085
1087	CEACAM7	CEA cell adhesion molecule 7	-1.85	5.11
1048	CEACAM5	CEA cell adhesion molecule 5	1.529	5.338
4680	CEACAM6	CEA cell adhesion molecule 6	-0.861	1.586
6223	RPS19	ribosomal protein S19	-0.562	4.019
390937	ERFL	ETS repressor factor like	-1.78	3.416
2901	GRIK5	glutamate ionotropic receptor kainate type subunit 5	-0.63	1.721
284338	PRR19	proline rich 19	0.743	4.775
284339	TMEM145	transmembrane protein 145	-1.236	2.146
84518	CNFN	cornifelin	2.648	66.334
101930071	LOC101930071	uncharacterized LOC101930071	0.982	2.791
100996307	LIPE-AS1	LIPE antisense RNA 1	1.376	11.023
284340	CXCL17	C-X-C motif chemokine ligand 17	3.658	16.123
57126	CD177	CD177 molecule	4.659	11.856
83639	TEX101	testis expressed 101	3.377	23.878
27076	LYPD3	LY6/PLAUR domain containing 3	0.852	9.766
23474	ETHE1	ETHE1 persulfide dioxygenase	0.994	4.263
5329	PLAUR	plasminogen activator, urokinase receptor	1.339	4.776
3783	KCNN4	potassium calcium-activated channel subfamily N member 4	-1.316	5.104
284348	LYPD5	LY6/PLAUR domain containing 5	1.037	10.089
342908	ZNF404	zinc finger protein 404	-1.895	8.614
100505715	LOC100505715	uncharacterized LOC100505715	-1.553	6.232
7673	ZNF222	zinc finger protein 222	-0.568	2.962
342909	ZNF284	zinc finger protein 284	-0.697	3.999
7767	ZNF224	zinc finger protein 224	-0.678	3.881
100379224	ZNF225-AS1	ZNF225 and ZNF224 antisense RNA 1	-0.609	2.749
353355	ZNF233	zinc finger protein 233	-0.659	1.509
7772	ZNF229	zinc finger protein 229	0.612	1.382
56971	CEACAM19	CEA cell adhesion molecule 19	0.65	11.093
602	BCL3	BCL3 transcription coactivator	1.476	24.25
10452	TOMM40	translocase of outer mitochondrial membrane 40	0.841	5.422
348	APOE	apolipoprotein E	-2.018	18.094
341	APOC1	apolipoprotein C1	-4.196	8.249
1209	CLPTM1	CLPTM1 regulator of GABA type A receptor forward trafficking	0.518	6.511
5971	RELB	RELB proto-oncogene, NF-kB subunit	1.026	8.108
79090	TRAPPC6A	trafficking protein particle complex subunit 6A	-1.268	18.902
1158	CKM	creatine kinase, M-type	-3.127	9.356
147700	KLC3	kinesin light chain 3	-0.758	7.183
2068	ERCC2	ERCC excision repair 2, TFIIH core complex helicase subunit	-0.558	6.554
2828	GPR4	G protein-coupled receptor 4	1.16	2.906
24139	EML2	EMAP like 2	-0.68	5.662
2696	GIPR	gastric inhibitory polypeptide receptor	-0.872	2.746
23403	FBXO46	F-box protein 46	1.029	24.962
1760	DMPK	DM1 protein kinase	-0.568	2.602
729440	CCDC61	coiled-coil domain containing 61	-0.515	4.042
444882	IGFL4	IGF like family member 4	-1.175	2.364
147920	IGFL2	IGF like family member 2	-2.647	21.291
388555	IGFL3	IGF like family member 3	-1.464	9.432
105376901	LOC105376901		-2.851	11.373
105372424	LOC105372424	uncharacterized LOC105372424	-2.686	14.138
645553	IGFL2-AS1	IGFL2 antisense RNA 1	-2.062	6.375
93429	LOC93429	uncharacterized LOC93429	-1.928	7.335
374918	IGFL1	IGF like family member 1	4.199	27.732
64344	HIF3A	hypoxia inducible factor 3 subunit alpha	-2.238	7.287
100506012	PPP5D1P	PPP5 tetratricopeptide repeat domain containing 1, pseudogene	-1.09	2.994
57469	PNMA8B	PNMA family member 8B	-0.622	2.783
147906	DACT3	dishevelled binding antagonist of beta catenin 3	-1.128	9.794
6510	SLC1A5	solute carrier family 1 member 5	0.979	10.889
1175	AP2S1	adaptor related protein complex 2 subunit sigma 1	0.75	5.704
4861	NPAS1	neuronal PAS domain protein 1	-2.35	19.78
27202	C5AR2	complement C5a receptor 2	0.839	2.843
11133	KPTN	kaptin, actin binding protein	0.525	4.776
100505681	NAPA-AS1	NAPA antisense RNA 1	0.72	8.986
8775	NAPA	NSF attachment protein alpha	0.659	8.909
84215	ZNF541	zinc finger protein 541	-1.32	5.826
29997	NOP53	NOP53 ribosome biogenesis factor	-1.079	8.902
106144593	NOP53-AS1	NOP53 antisense RNA 1	-1.196	12.172
6415	SELENOW	selenoprotein W	-0.896	10.235
56344	CABP5	calcium binding protein 5	-1.224	2.961
8605	PLA2G4C	phospholipase A2 group IVC	-0.698	2.939
106144526	PLA2G4C-AS1	PLA2G4C antisense RNA 1	-0.793	1.748
22900	CARD8	caspase recruitment domain family member 8	-0.503	3.253
100505812	CARD8-AS1	CARD8 antisense RNA 1	0.849	5.375
163071	ZNF114	zinc finger protein 114	-1.545	3.826
93233	ODAD1	outer dynein arm docking complex subunit 1	-2.064	10.571
55260	TMEM143	transmembrane protein 143	-0.63	5.646
107984140	LOC107984140		-0.909	1.801
3770	KCNJ14	potassium inwardly rectifying channel subfamily J member 14	-0.588	1.715
114783	LMTK3	lemur tyrosine kinase 3	1.151	8.647
6820	SULT2B1	sulfotransferase family 2B member 1	0.882	6.203
54854	FAM83E	family with sequence similarity 83 member E	-1.425	5.478
6141	RPL18	ribosomal protein L18	-0.686	4.58
1628	DBP	D-box binding PAR bZIP transcription factor	-0.969	4.352
770	CA11	carbonic anhydrase 11	-0.52	4.157
126147	NTN5	netrin 5	-1.694	4.256
105372431	LOC105372431	uncharacterized LOC105372431	-1.17	2.279
2524	FUT2	fucosyltransferase 2	2.62	27.532
105447645	LOC105447645	uncharacterized LOC105447645	2.748	30.13
54922	RASIP1	Ras interacting protein 1	0.515	3.019
284359	IZUMO1	izumo sperm-oocyte fusion 1	2.411	9.218
2523	FUT1	fucosyltransferase 1 (H blood group)	1.972	20.874
105372432	LOC105372432	uncharacterized LOC105372432	-0.822	1.459
51171	HSD17B14	hydroxysteroid 17-beta dehydrogenase 14	-0.755	2.578
581	BAX	BCL2 associated X, apoptosis regulator	0.582	8.331
2997	GYS1	glycogen synthase 1	1.38	42.345
4909	NTF4	neurotrophin 4	-1.126	6.238
3743	KCNA7	potassium voltage-gated channel subfamily A member 7	1.011	2.338
6625	SNRNP70	small nuclear ribonucleoprotein U1 subunit 70	-0.597	3.684
64130	LIN7B	lin-7 homolog B, crumbs cell polarity complex component	-0.801	3.72
28968	SLC6A16	solute carrier family 6 member 16	-0.927	3.252
951	CD37	CD37 molecule	0.696	2.563
8463	TEAD2	TEA domain transcription factor 2	-0.577	2.82
57030	SLC17A7	solute carrier family 17 member 7	-0.939	3.742
126133	ALDH16A1	aldehyde dehydrogenase 16 family member A1	0.638	11.054
26819	SNORD32A	small nucleolar RNA, C/D box 32A	-0.735	2.403
6205	RPS11	ribosomal protein S11	-0.761	5.758
2217	FCGRT	Fc gamma receptor and transporter	-0.862	7.556
6237	RRAS	RAS related	-0.637	2.591
126129	CPT1C	carnitine palmitoyltransferase 1C	0.564	2.778
102465480	MIR6800	microRNA 6800	0.509	1.527
79735	TBC1D17	TBC1 domain family member 17	-0.699	11.15
100616314	MIR4750	microRNA 4750	-0.893	3.009
259307	IL4I1	interleukin 4 induced 1	1.412	12.265
22809	ATF5	activating transcription factor 5	0.578	5.828
100616483	MIR4751	microRNA 4751	0.75	4.698
79784	MYH14	myosin heavy chain 14	-1.632	7.922
256236	NAPSB	napsin B aspartic peptidase, pseudogene	0.673	1.927
9476	NAPSA	napsin A aspartic peptidase	-1.096	5.606
6689	SPIB	Spi-B transcription factor	2.974	7.306
342918	C19orf81	chromosome 19 open reading frame 81	-1.449	3.432
50944	SHANK1	SH3 and multiple ankyrin repeat domains 1	-2.007	11.984
93650	ACP4	acid phosphatase 4	-1.891	4.864
692203	SNORD88B	small nucleolar RNA, C/D box 88B	0.852	2.188
3816	KLK1	kallikrein 1	-1.201	5.196
5653	KLK6	kallikrein related peptidase 6	3.173	7.094
105372442	LOC105372442	uncharacterized LOC105372442	3.269	7.79
5650	KLK7	kallikrein related peptidase 7	0.9	8.926
11202	KLK8	kallikrein related peptidase 8	1.167	12.427
