GeneID	Symbol	Description	log2(fold change)(AkS vs lesion-PsA)	-log10(Pvalue)(AkS vs lesion-PsA)
51548	SIRT6	sirtuin 6	-0.549	5.069
170961	ANKRD24	ankyrin repeat domain 24	1.369	2.725
10148	EBI3	Epstein-Barr virus induced 3	-1.837	4.86
116844	LRG1	leucine rich alpha-2-glycoprotein 1	-1.312	1.431
29128	UHRF1	ubiquitin like with PHD and ring finger domains 1	-1.075	3.614
23030	KDM4B	lysine demethylase 4B	0.537	1.71
5802	PTPRS	protein tyrosine phosphatase receptor type S	0.65	1.76
4902	NRTN	neurturin	0.644	1.831
2525	FUT3	fucosyltransferase 3 (Lewis blood group)	-3.43	26.185
5990	RFX2	regulatory factor X2	0.734	2.205
8192	CLPP	caseinolytic mitochondrial matrix peptidase proteolytic subunit	-0.653	3.304
79085	SLC25A23	solute carrier family 25 member 23	0.528	2.775
92359	CRB3	crumbs cell polarity complex component 3	-0.635	1.405
10382	TUBB4A	tubulin beta 4A class IVa	1.294	4.823
8744	TNFSF9	TNF superfamily member 9	-0.817	1.599
7409	VAV1	vav guanine nucleotide exchange factor 1	-0.661	2.342
326342	ADGRE4P	adhesion G protein-coupled receptor E4, pseudogene	1.472	2.15
3643	INSR	insulin receptor	0.909	3.12
140467	ZNF358	zinc finger protein 358	0.525	1.887
57662	CAMSAP3	calmodulin regulated spectrin associated protein family member 3	1.059	3.922
339390	CLEC4G	C-type lectin domain family 4 member G	-1.778	3.506
80164	PRR36	proline rich 36	0.839	1.551
10469	TIMM44	translocase of inner mitochondrial membrane 44	-0.572	3.261
256949	KANK3	KN motif and ankyrin repeat domains 3	0.57	2.182
51129	ANGPTL4	angiopoietin like 4	-1.067	2.619
81794	ADAMTS10	ADAM metallopeptidase with thrombospondin type 1 motif 10	0.838	1.812
84527	ZNF559	zinc finger protein 559	0.686	3.708
100529215	ZNF559-ZNF177	ZNF559-ZNF177 readthrough	0.84	3.746
7730	ZNF177	zinc finger protein 177	1.085	2.898
93134	ZNF561	zinc finger protein 561	-0.622	1.562
54811	ZNF562	zinc finger protein 562	-0.599	2.968
729648	ZNF812P	zinc finger protein 812, pseudogene	-3.465	7.893
50509	COL5A3	collagen type V alpha 3 chain	0.7	1.527
55337	SHFL	shiftless antiviral inhibitor of ribosomal frameshifting	-0.675	2.827
83854	ANGPTL6	angiopoietin like 6	-0.554	2.109
51073	MRPL4	mitochondrial ribosomal protein L4	-0.855	6.174
3383	ICAM1	intercellular adhesion molecule 1	-0.903	2.517
255809	C19orf38	chromosome 19 open reading frame 38	-0.837	2.047
115271120	LDLR-AS1	LDLR antisense RNA 1	-0.941	1.848
3949	LDLR	low density lipoprotein receptor	-0.958	2.725
147841	SPC24	SPC24 component of NDC80 kinetochore complex	-0.951	3.869
25959	KANK2	KN motif and ankyrin repeat domains 2	0.666	2.456
126075	CCDC159	coiled-coil domain containing 159	0.549	3.176
126074	SWSAP1	SWIM-type zinc finger 7 associated protein 1	-0.673	3.09
2057	EPOR	erythropoietin receptor	0.67	2.842
57139	RGL3	ral guanine nucleotide dissociation stimulator like 3	1.395	2.31
84337	ELOF1	elongation factor 1	-0.606	2.797
54	ACP5	acid phosphatase 5, tartrate resistant	-0.999	3.283
126069	ZNF491	zinc finger protein 491	0.616	1.342
90594	ZNF439	zinc finger protein 439	0.682	1.588
7620	ZNF69	zinc finger protein 69	0.79	3.11
84261	FBXW9	F-box and WD repeat domain containing 9	-0.504	2.495
30000	TNPO2	transportin 2	0.524	1.909
439	GET3	guided entry of tail-anchored proteins factor 3, ATPase	-0.641	1.35
29911	HOOK2	hook microtubule tethering protein 2	0.6	1.377
3726	JUNB	JunB proto-oncogene, AP-1 transcription factor subunit	-1.313	12.164
10535	RNASEH2A	ribonuclease H2 subunit A	-0.799	3.758
22983	MAST1	microtubule associated serine/threonine kinase 1	0.972	3.064
811	CALR	calreticulin	-0.697	3.157
90480	GADD45GIP1	GADD45G interacting protein 1	-0.61	1.843
4784	NFIX	nuclear factor I X	0.773	4.151
4066	LYL1	LYL1 basic helix-loop-helix family member	0.781	6.127
9592	IER2	immediate early response 2	-0.876	6.171
65249	ZSWIM4	zinc finger SWIM-type containing 4	-0.678	2.009
5989	RFX1	regulatory factor X1	0.515	1.427
113230	MISP3	MISP family member 3	1.065	5.63
55723	ASF1B	anti-silencing function 1B histone chaperone	-1.389	10.167
100507373	ADGRL1-AS1	ADGRL1 antisense RNA 1	0.652	2.432
22859	ADGRL1	adhesion G protein-coupled receptor L1	0.686	1.847
10212	DDX39A	DExD-box helicase 39A	-1.416	13.882
10755	GIPC1	GIPC PDZ domain containing family member 1	-0.992	7.343
3337	DNAJB1	DnaJ heat shock protein family (Hsp40) member B1	-0.948	3.657
84449	ZNF333	zinc finger protein 333	0.588	2.305
6511	SLC1A6	solute carrier family 1 member 6	1.682	4.091
79852	EPHX3	epoxide hydrolase 3	-1.908	9.388
64926	RASAL3	RAS protein activator like 3	-0.762	2.313
114770	PGLYRP2	peptidoglycan recognition protein 2	-1.941	2.814
126410	CYP4F22	cytochrome P450 family 4 subfamily F member 22	-0.952	1.413
66002	CYP4F12	cytochrome P450 family 4 subfamily F member 12	0.978	3.92
652995	UCA1	urothelial cancer associated 1	-2.19	5.411
57834	CYP4F11	cytochrome P450 family 4 subfamily F member 11	-1.2	1.34
7171	TPM4	tropomyosin 4	-0.679	3.021
84941	HSH2D	hematopoietic SH2 domain containing	-1.192	3.268
26017	FAM32A	family with sequence similarity 32 member A	-0.551	1.832
284434	NWD1	NACHT and WD repeat domain containing 1	1.61	2.272
23309	SIN3B	SIN3 transcription regulator family member B	0.648	1.368
83878	USHBP1	USH1 protein network component harmonin binding protein 1	0.807	2.055
64981	MRPL34	mitochondrial ribosomal protein L34	-0.601	1.316
79016	DDA1	DET1 and DDB1 associated 1	-0.53	2.684
684	BST2	bone marrow stromal cell antigen 2	-0.682	1.766
105221694	BISPR	BST2 interferon stimulated positive regulator	-0.699	2.163
100130519	TMEM221	transmembrane protein 221	1.111	1.76
376497	SLC27A1	solute carrier family 27 member 1	0.925	2.969
10331	B3GNT3	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 3	-1.636	4.432
3718	JAK3	Janus kinase 3	-1.015	2.814
3594	IL12RB1	interleukin 12 receptor subunit beta 1	-1.709	5.921
10437	IFI30	IFI30 lysosomal thiol reductase	-1.368	8.188
5864	RAB3A	RAB3A, member RAS oncogene family	0.642	1.357
80726	IQCN	IQ motif containing N	1.164	1.382
25804	LSM4	LSM4 homolog, U6 small nuclear RNA and mRNA degradation associated	-0.64	1.748
54858	PGPEP1	pyroglutamyl-peptidase I	0.809	5.191
51477	ISYNA1	inositol-3-phosphate synthase 1	0.672	1.864
1311	COMP	cartilage oligomeric matrix protein	-2.813	3.747
11316	COPE	COPI coat complex subunit epsilon	-0.74	2.809
54555	DDX49	DEAD-box helicase 49	-0.501	3.402
9454	HOMER3	homer scaffold protein 3	-0.643	5.162
93436	ARMC6	armadillo repeat containing 6	-0.758	7.891
284439	SLC25A42	solute carrier family 25 member 42	0.867	3.003
100271849	MEF2B	myocyte enhancer factor 2B	0.564	1.638
729991	BORCS8	BLOC-1 related complex subunit 8	-0.576	1.655
374887	YJEFN3	YjeF N-terminal domain containing 3	0.839	2.229
148113	CILP2	cartilage intermediate layer protein 2	1.249	1.447
94039	ZNF101	zinc finger protein 101	-0.75	4.686
284440	LINC00663	long intergenic non-protein coding RNA 663	1.145	3.769
112267872	LOC112267872		0.683	1.518
56242	ZNF253	zinc finger protein 253	0.68	2.726
91120	ZNF682	zinc finger protein 682	0.935	1.863
100129842	ZNF737	zinc finger protein 737	1.244	4.114
199777	ZNF626	zinc finger protein 626	0.997	3.128
7617	ZNF66	zinc finger protein 66	1.364	7.446
284443	ZNF493	zinc finger protein 493	1.225	3.823
105372321	LOC105372321	uncharacterized LOC105372321	1.42	1.408
353088	ZNF429	zinc finger protein 429	0.839	2.808
101929007	LOC101929007	uncharacterized LOC101929007	1.815	2.716
7594	ZNF43	zinc finger protein 43	1.05	1.905
7757	ZNF208	zinc finger protein 208	1.776	2.898
113835	ZNF257	zinc finger protein 257	0.981	2.479
100132815	IPO5P1	importin 5 pseudogene 1	1.051	1.79
7644	ZNF91	zinc finger protein 91	1.252	2.49
7386	UQCRFS1	ubiquinol-cytochrome c reductase, Rieske iron-sulfur polypeptide 1	-0.727	1.744
10775	POP4	POP4 homolog, ribonuclease P/MRP subunit	-0.596	1.79
898	CCNE1	cyclin E1	-2.251	13.854
9745	ZNF536	zinc finger protein 536	1.747	4.574
9141	PDCD5	programmed cell death 5	-0.576	1.989
85415	RHPN2	rhophilin Rho GTPase binding protein 2	1.902	2.806
4037	LRP3	LDL receptor related protein 3	0.588	2.049
80054	CEBPA-DT	CEBPA divergent transcript	0.916	4.512
84306	PDCD2L	programmed cell death 2 like	-0.873	4.013
10054	UBA2	ubiquitin like modifier activating enzyme 2	-0.622	2.181
126374	WTIP	WT1 interacting protein	0.823	2.897
643719	SCGB1B2P	secretoglobin family 1B member 2, pseudogene	2.187	2.339
284402	SCGB2B2	secretoglobin family 2B member 2	1.882	2.782
55900	ZNF302	zinc finger protein 302	0.772	4.114
90075	ZNF30	zinc finger protein 30	0.521	1.426
5348	FXYD1	FXYD domain containing ion transport regulator 1	1.052	6.095
53827	FXYD5	FXYD domain containing ion transport regulator 5	-0.548	3.553
2867	FFAR2	free fatty acid receptor 2	-1.782	4.892
388533	KRTDAP	keratinocyte differentiation associated protein	-1.069	1.415
374897	SBSN	suprabasin	-1.089	2.082
55851	PSENEN	presenilin enhancer, gamma-secretase subunit	-0.526	1.531
115703	ARHGAP33	Rho GTPase activating protein 33	0.955	1.456
163183	SYNE4	spectrin repeat containing nuclear envelope family member 4	1.493	2.061
25999	CLIP3	CAP-Gly domain containing linker protein 3	0.624	2.595
57677	ZFP14	ZFP14 zinc finger protein	0.957	4.485
84924	ZNF566	zinc finger protein 566	0.645	3.879
57711	ZNF529	zinc finger protein 529	0.541	2.286
101927599	ZNF529-AS1	ZNF529 antisense RNA 1	0.645	1.7
84911	ZNF382	zinc finger protein 382	1.159	3.579
101927621	ZNF567-DT	ZNF567 divergent transcript	0.808	1.775
342892	ZNF850	zinc finger protein 850	0.768	1.777
284408	ZNF790-AS1	ZNF790 antisense RNA 1	0.715	1.938
25850	ZNF345	zinc finger protein 345	0.712	3.27
92285	ZNF585B	zinc finger protein 585B	0.691	2.496
284459	ZNF875	zinc finger protein 875	0.504	2.128
390927	ZNF793	zinc finger protein 793	0.797	1.581
100507433	ZNF571-AS1	ZNF571 antisense RNA 1	0.859	3.425
163255	ZNF540	zinc finger protein 540	1.241	5.28
51276	ZNF571	zinc finger protein 571	0.572	2.263
84775	ZNF607	zinc finger protein 607	0.921	2.879
126231	ZNF573	zinc finger protein 573	0.555	1.43
23094	SIPA1L3	signal induced proliferation associated 1 like 3	0.527	1.641
9424	KCNK6	potassium two pore domain channel subfamily K member 6	-1.034	15.701
57828	CATSPERG	cation channel sperm associated auxiliary subunit gamma	1.097	2.967
5714	PSMD8	proteasome 26S subunit, non-ATPase 8	-0.717	1.694
199720	GGN	gametogenetin	0.912	1.323
399473	SPRED3	sprouty related EVH1 domain containing 3	0.864	2.144
653499	LGALS7B	galectin 7B	-0.954	1.337
4793	NFKBIB	NFKB inhibitor beta	-0.573	4.228
643669	CCER2	coiled-coil glutamate rich protein 2	0.746	1.626
6183	MRPS12	mitochondrial ribosomal protein S12	-1.198	4.524
115290	FBXO17	F-box protein 17	0.722	5.562
390928	ACP7	acid phosphatase 7, tartrate resistant (putative)	-3.947	15.838
342897	NCCRP1	NCCRP1, F-box associated domain containing	-1.602	3.518
7538	ZFP36	ZFP36 ring finger protein	-0.968	2.742
92609	TIMM50	translocase of inner mitochondrial membrane 50	-0.658	3.514
126272	EID2B	EP300 interacting inhibitor of differentiation 2B	0.573	1.725
8857	FCGBP	Fc gamma binding protein	1.29	3.486
5704	PSMC4	proteasome 26S subunit, ATPase 4	-0.948	8.353
339327	ZNF546	zinc finger protein 546	0.958	3.91
57716	PRX	periaxin	1.394	10.977
29950	SERTAD1	SERTA domain containing 1	-1.356	3.475
57731	SPTBN4	spectrin beta, non-erythrocytic 4	1.078	2.412
8425	LTBP4	latent transforming growth factor beta binding protein 4	1.072	3.996
9253	NUMBL	NUMB like endocytic adaptor protein	0.614	2.681
80271	ITPKC	inositol-trisphosphate 3-kinase C	-0.74	4.437
171523	CYP2T1P	cytochrome P450 family 2 subfamily T member 1, pseudogene	0.554	1.912
29785	CYP2S1	cytochrome P450 family 2 subfamily S member 1	-1.154	5.097
56915	EXOSC5	exosome component 5	-0.595	2.206
90273	CEACAM21	CEA cell adhesion molecule 21	-0.934	2.219
105372405	LOC105372405	uncharacterized LOC105372405	-2.321	2.958
1087	CEACAM7	CEA cell adhesion molecule 7	1.584	2.575
2901	GRIK5	glutamate ionotropic receptor kainate type subunit 5	1.059	3.805
162989	DEDD2	death effector domain containing 2	-0.875	4.267
5050	PAFAH1B3	platelet activating factor acetylhydrolase 1b catalytic subunit 3	-0.674	3.173
284338	PRR19	proline rich 19	-0.684	2.873
1954	MEGF8	multiple EGF like domains 8	0.623	1.594
84518	CNFN	cornifelin	-3.489	13.389
101930071	LOC101930071	uncharacterized LOC101930071	-1.035	2.114
100996307	LIPE-AS1	LIPE antisense RNA 1	-1.894	6.428
284340	CXCL17	C-X-C motif chemokine ligand 17	-2.749	8.451
5676	PSG7	pregnancy specific beta-1-glycoprotein 7	-1.76	2.177
57126	CD177	CD177 molecule	-4.69	7.853
83639	TEX101	testis expressed 101	-3.552	16.733
27076	LYPD3	LY6/PLAUR domain containing 3	-1.166	5.495
23474	ETHE1	ETHE1 persulfide dioxygenase	-0.85	5.462
199731	CADM4	cell adhesion molecule 4	0.591	1.943
5329	PLAUR	plasminogen activator, urokinase receptor	-1.77	6.242
3783	KCNN4	potassium calcium-activated channel subfamily N member 4	1.512	2.234
284348	LYPD5	LY6/PLAUR domain containing 5	-1.616	4.101
284349	ZNF283	zinc finger protein 283	0.513	2.232
7638	ZNF221	zinc finger protein 221	0.706	2.361
7767	ZNF224	zinc finger protein 224	0.667	2.137
100379224	ZNF225-AS1	ZNF225 and ZNF224 antisense RNA 1	0.673	2.128
10780	ZNF234	zinc finger protein 234	0.562	2.685
353355	ZNF233	zinc finger protein 233	1.051	1.438
7771	ZNF112	zinc finger protein 112	0.758	2.704
26974	ZNF285	zinc finger protein 285	1.093	3.133
56971	CEACAM19	CEA cell adhesion molecule 19	-1.091	5.788
602	BCL3	BCL3 transcription coactivator	-0.866	2.531
4059	BCAM	basal cell adhesion molecule (Lutheran blood group)	0.67	2.291
10452	TOMM40	translocase of outer mitochondrial membrane 40	-0.765	3.215
348	APOE	apolipoprotein E	1.098	2.615
341	APOC1	apolipoprotein C1	2.144	2.176
5971	RELB	RELB proto-oncogene, NF-kB subunit	-0.808	3.812
79760	GEMIN7	gem nuclear organelle associated protein 7	-0.639	1.708
105372419	GEMIN7-AS1	GEMIN7 antisense RNA 1	-0.742	1.729
2354	FOSB	FosB proto-oncogene, AP-1 transcription factor subunit	-1.094	1.466
147699	PPM1N	protein phosphatase, Mg2+/Mn2+ dependent 1N (putative)	-0.729	2.347
24139	EML2	EMAP like 2	0.88	4.166
23403	FBXO46	F-box protein 46	-0.624	2.347
147912	SIX5	SIX homeobox 5	0.512	1.662
109729182	DM1-AS	DM1 locus antisense RNA	0.718	2.71
1760	DMPK	DM1 protein kinase	0.62	1.58
4858	NOVA2	NOVA alternative splicing regulator 2	0.775	1.46
147920	IGFL2	IGF like family member 2	1.417	4.093
388555	IGFL3	IGF like family member 3	0.726	1.596
105376901	LOC105376901		3.063	12.545
105372424	LOC105372424	uncharacterized LOC105372424	2.1	13.223
645553	IGFL2-AS1	IGFL2 antisense RNA 1	1.712	2.724
374918	IGFL1	IGF like family member 1	-4.312	20.615
64344	HIF3A	hypoxia inducible factor 3 subunit alpha	1.718	4.369
83987	CCDC8	coiled-coil domain containing 8	1.394	4.415
100506012	PPP5D1P	PPP5 tetratricopeptide repeat domain containing 1, pseudogene	0.684	1.843
57469	PNMA8B	PNMA family member 8B	0.879	3.273
147906	DACT3	dishevelled binding antagonist of beta catenin 3	0.793	2.735
107987269	LOC107987269	uncharacterized LOC107987269	0.507	1.468
1175	AP2S1	adaptor related protein complex 2 subunit sigma 1	-1.131	4.268
4861	NPAS1	neuronal PAS domain protein 1	1.561	4.137
728	C5AR1	complement C5a receptor 1	-1.638	4.057
27202	C5AR2	complement C5a receptor 2	-0.932	2.105
56917	MEIS3	Meis homeobox 3	0.571	1.62
11133	KPTN	kaptin, actin binding protein	-0.708	5.225
29997	NOP53	NOP53 ribosome biogenesis factor	0.719	3.795
106144593	NOP53-AS1	NOP53 antisense RNA 1	0.799	2.903
56344	CABP5	calcium binding protein 5	0.615	1.53
106144526	PLA2G4C-AS1	PLA2G4C antisense RNA 1	0.663	1.591
374920	ZSWIM9	zinc finger SWIM-type containing 9	0.858	5.8
163071	ZNF114	zinc finger protein 114	0.874	1.891
93233	ODAD1	outer dynein arm docking complex subunit 1	1.297	1.972
55260	TMEM143	transmembrane protein 143	0.63	2.144
107984140	LOC107984140		1.298	2.014
83743	GRWD1	glutamate rich WD repeat containing 1	-0.51	4.18
6820	SULT2B1	sulfotransferase family 2B member 1	-1.08	2.674
54854	FAM83E	family with sequence similarity 83 member E	1.359	2.034
1628	DBP	D-box binding PAR bZIP transcription factor	0.543	1.658
770	CA11	carbonic anhydrase 11	0.742	4.362
653677	SEC1P	secretory blood group 1, pseudogene	0.725	2.238
126147	NTN5	netrin 5	1.926	3.818
2524	FUT2	fucosyltransferase 2	-1.999	9.534
105447645	LOC105447645	uncharacterized LOC105447645	-1.819	7.08
284358	MAMSTR	MEF2 activating motif and SAP domain containing transcriptional regulator	0.783	1.639
2523	FUT1	fucosyltransferase 1 (H blood group)	-1.698	12.84
587	BCAT2	branched chain amino acid transaminase 2	1.134	2.211
105372432	LOC105372432	uncharacterized LOC105372432	1.243	2.329
581	BAX	BCL2 associated X, apoptosis regulator	-0.625	4.362
10856	RUVBL2	RuvB like AAA ATPase 2	-0.589	2.894
3270	HRC	histidine rich calcium binding protein	0.897	1.653
54795	TRPM4	transient receptor potential cation channel subfamily M member 4	0.56	1.411
28968	SLC6A16	solute carrier family 6 member 16	0.982	2.953
57030	SLC17A7	solute carrier family 17 member 7	1.302	5.437
51070	NOSIP	nitric oxide synthase interacting protein	-0.589	1.31
57479	PRR12	proline rich 12	0.599	1.368
3276	PRMT1	protein arginine methyltransferase 1	-0.835	4.218
199800	ADM5	adrenomedullin 5 (putative)	0.622	2.95
126129	CPT1C	carnitine palmitoyltransferase 1C	-0.529	1.514
60385	TSKS	testis specific serine kinase substrate	1.523	2.855
79735	TBC1D17	TBC1 domain family member 17	0.569	2.848
259307	IL4I1	interleukin 4 induced 1	-1.574	10.65
22809	ATF5	activating transcription factor 5	-0.546	6.689
100616483	MIR4751	microRNA 4751	-0.558	2.681
79784	MYH14	myosin heavy chain 14	2.062	12.583
3748	KCNC3	potassium voltage-gated channel subfamily C member 3	1.058	2.08
256236	NAPSB	napsin B aspartic peptidase, pseudogene	-1.308	7.41
9476	NAPSA	napsin A aspartic peptidase	1.009	1.459
6689	SPIB	Spi-B transcription factor	-1.479	2.916
126119	JOSD2	Josephin domain containing 2	-0.631	3.173
94030	LRRC4B	leucine rich repeat containing 4B	1.186	4.461
50944	SHANK1	SH3 and multiple ankyrin repeat domains 1	1.023	2.392
6320	CLEC11A	C-type lectin domain containing 11A	0.54	2.954
84798	C19orf48	multidrug resistance-related protein	-0.526	3.833
3816	KLK1	kallikrein 1	1.339	6.199
5653	KLK6	kallikrein related peptidase 6	-3.815	6.956
105372442	LOC105372442	uncharacterized LOC105372442	-3.904	7.223
5650	KLK7	kallikrein related peptidase 7	-1.425	3.667
11202	KLK8	kallikrein related peptidase 8	-1.606	3.645
284366	KLK9	kallikrein related peptidase 9	-3.936	11.554
5655	KLK10	kallikrein related peptidase 10	-2.326	7.181
11012	KLK11	kallikrein related peptidase 11	-0.727	1.68
26085	KLK13	kallikrein related peptidase 13	-3.905	15.662
27180	SIGLEC9	sialic acid binding Ig like lectin 9	-0.936	2.184
402665	IGLON5	IgLON family member 5	-1.05	1.754
4818	NKG7	natural killer cell granule protein 7	-1.788	7.643
8778	SIGLEC5	sialic acid binding Ig like lectin 5	-1.076	2.319
100049587	SIGLEC14	sialic acid binding Ig like lectin 14	-1.238	3.942
147650	SPACA6	sperm acrosome associated 6	0.784	1.895
2357	FPR1	formyl peptide receptor 1	-3.664	14.455
2359	FPR3	formyl peptide receptor 3	-0.812	2.664
84765	ZNF577	zinc finger protein 577	1.175	4.229
284370	ZNF615	zinc finger protein 615	0.622	4.119
284371	ZNF841	zinc finger protein 841	0.861	2.382
90317	ZNF616	zinc finger protein 616	0.589	2.539
90321	ZNF766	zinc finger protein 766	0.67	5.935
162963	ZNF610	zinc finger protein 610	1.28	3.678
102724105	ZNF528-AS1	ZNF528 antisense RNA 1	0.903	2.026
84436	ZNF528	zinc finger protein 528	1.02	4.124
147660	ZNF578	zinc finger protein 578	1.191	4.389
55769	ZNF83	zinc finger protein 83	0.673	1.796
162966	ZNF600	zinc finger protein 600	0.652	2.786
162967	ZNF320	zinc finger protein 320	0.615	1.947
90338	ZNF160	zinc finger protein 160	0.554	2.253
55786	ZNF415	zinc finger protein 415	0.576	1.774
84671	ZNF347	zinc finger protein 347	0.535	3.317
79788	ZNF665	zinc finger protein 665	1.004	4.434
342926	ZNF677	zinc finger protein 677	0.889	3.241
91663	MYADM	myeloid associated differentiation marker	0.793	3.127
147798	TMC4	transmembrane channel like 4	1.347	2.204
11025	LILRB3	leukocyte immunoglobulin like receptor B3	-1.263	3.275
79168	LILRA6	leukocyte immunoglobulin like receptor A6	-1.365	2.89
10288	LILRB2	leukocyte immunoglobulin like receptor B2	-1.446	6.927
353514	LILRA5	leukocyte immunoglobulin like receptor A5	-3.234	6.5
23547	LILRA4	leukocyte immunoglobulin like receptor A4	-2.223	7.11
3903	LAIR1	leukocyte associated immunoglobulin like receptor 1	-0.673	1.928
57348	TTYH1	tweety family member 1	1.926	6.218
104355426	LENG8-AS1	LENG8 antisense RNA 1	0.779	1.341
114823	LENG8	leukocyte receptor cluster member 8	1.03	1.768
148170	CDC42EP5	CDC42 effector protein 5	-0.789	3.19
3904	LAIR2	leukocyte associated immunoglobulin like receptor 2	-2.419	4.963
11027	LILRA2	leukocyte immunoglobulin like receptor A2	-0.818	1.802
10859	LILRB1	leukocyte immunoglobulin like receptor B1	-1.83	6.13
11006	LILRB4	leukocyte immunoglobulin like receptor B4	-1.372	2.987
7138	TNNT1	troponin T1, slow skeletal type	1.058	1.813
23640	HSPBP1	HSPA (Hsp70) binding protein 1	-0.757	5.193
84446	BRSK1	BR serine/threonine kinase 1	1.321	3.415
84787	KMT5C	lysine methyltransferase 5C	0.603	1.494
27338	UBE2S	ubiquitin conjugating enzyme E2 S	-0.735	2.724
79763	ISOC2	isochorismatase domain containing 2	-0.832	3.416
284297	SSC5D	scavenger receptor cysteine rich family member with 5 domains	1.048	1.908
107983998	LOC107983998	uncharacterized LOC107983998	0.86	1.793
29903	CCDC106	coiled-coil domain containing 106	0.555	3.021
100506374	EDDM13	epididymal protein 13	0.62	1.563
386758	ZNF582-DT	ZNF582 divergent transcript	0.894	2.304
63934	ZNF667	zinc finger protein 667	1.188	3.518
100128252	ZNF667-AS1	ZNF667 antisense RNA 1 (head to head)	0.821	2.406
57573	ZNF471	zinc finger protein 471	1.412	6.812
140612	ZFP28	ZFP28 zinc finger protein	1.027	5.928
112268241	ZNF470-DT	ZNF470 divergent transcript	0.909	1.712
388566	ZNF470	zinc finger protein 470	0.727	6.467
90485	ZNF835	zinc finger protein 835	0.956	2.14
5178	PEG3	paternally expressed 3	0.864	3.377
79744	ZNF419	zinc finger protein 419	0.53	2.636
374928	ZNF773	zinc finger protein 773	0.508	2.366
256051	ZNF549	zinc finger protein 549	0.658	4.841
162972	ZNF550	zinc finger protein 550	0.522	1.53
284307	ZIK1	zinc finger protein interacting with K protein 1	0.595	2.589
147686	ZNF418	zinc finger protein 418	1.205	3.088
80095	ZNF606	zinc finger protein 606	0.777	4.686
100128398	LOC100128398	uncharacterized LOC100128398	1.165	5.624
7694	ZNF135	zinc finger protein 135	1.756	4.902
65982	ZSCAN18	zinc finger and SCAN domain containing 18	1.63	9.925
162968	ZNF497	zinc finger protein 497	0.714	3.402
646862	RNF225	ring finger protein 225	-2.022	3.402
110806301	LINC02560	long intergenic non-protein coding RNA 2560	-1.736	5.04
107987272	LOC107987272	uncharacterized LOC107987272	0.687	1.568
140680	C20orf96	chromosome 20 open reading frame 96	0.529	2.489
6666	SOX12	SRY-box transcription factor 12	0.509	1.617
140809	SRXN1	sulfiredoxin 1	-0.993	2.173
113278	SLC52A3	solute carrier family 52 member 3	-0.732	1.56
51378	ANGPT4	angiopoietin 4	1.289	4.966
100528031	FKBP1A-SDCBP2	FKBP1A-SDCBP2 readthrough (NMD candidate)	-1.016	3.648
27111	SDCBP2	syndecan binding protein 2	-1.315	4.178
55423	SIRPG	signal regulatory protein gamma	-1.525	4.903
107984104	LOC107984104		-0.968	1.606
7053	TGM3	transglutaminase 3	-2.926	9.622
6628	SNRPB	small nuclear ribonucleoprotein polypeptides B and B1	-0.807	2.734
10528	NOP56	NOP56 ribonucleoprotein	-0.81	14.57
100302138	MIR1292	microRNA 1292	-0.778	2.338
692201	SNORD86	small nucleolar RNA, C/D box 86	-1.834	11.03
57593	EBF4	EBF family member 4	0.728	2.594
9762	LZTS3	leucine zipper tumor suppressor family member 3	0.719	1.731
3704	ITPA	inosine triphosphatase	-0.765	6.498
80332	ADAM33	ADAM metallopeptidase domain 33	1.025	2.196
116835	HSPA12B	heat shock protein family A (Hsp70) member 12B	0.519	1.734
994	CDC25B	cell division cycle 25B	-1.109	6.809
54498	SMOX	spermine oxidase	-1.888	6.16
9962	SLC23A2	solute carrier family 23 member 2	-0.853	1.785
5111	PCNA	proliferating cell nuclear antigen	-0.929	7.473
100302739	PCNA-AS1	PCNA antisense RNA 1	-0.999	7.619
56261	GPCPD1	glycerophosphocholine phosphodiesterase 1	-0.568	2.711
149840	SHLD1	shieldin complex subunit 1	-0.652	1.405
51605	TRMT6	tRNA methyltransferase 6 non-catalytic subunit	-0.707	3.726
164312	LRRN4	leucine rich repeat neuronal 4	0.839	2.298
55612	FERMT1	FERM domain containing kindlin 1	-1.616	7.545
23236	PLCB1	phospholipase C beta 1	0.946	2.365
5332	PLCB4	phospholipase C beta 4	1.618	5.097
63926	ANKEF1	ankyrin repeat and EF-hand domain containing 1	-0.545	2.207
8195	MKKS	MKKS centrosomal shuttling protein	-0.629	1.942
22903	BTBD3	BTB domain containing 3	-0.597	2.992
140862	ISM1	isthmin 1	1.191	4.448
105372539	LOC105372539		1.731	2.718
140733	MACROD2	mono-ADP ribosylhydrolase 2	1.19	4.263
5126	PCSK2	proprotein convertase subtilisin/kexin type 2	1.194	4.146
631	BFSP1	beaded filament structural protein 1	-0.808	3.085
55184	DZANK1	double zinc ribbon and ankyrin repeat domains 1	0.591	1.876
10483	SEC23B	SEC23 homolog B, COPII coat complex component	-0.525	3.123
100270804	LCDR	lysosome cell death regulator	0.846	1.368
54453	RIN2	Ras and Rab interactor 2	-0.706	5.851
51126	NAA20	N-alpha-acetyltransferase 20, NatB catalytic subunit	-0.91	1.962
26074	CFAP61	cilia and flagella associated protein 61	-0.913	1.345
7056	THBD	thrombomodulin	-0.691	2.796
29107	NXT1	nuclear transport factor 2 like export factor 1	-0.889	2.134
