GeneID	Symbol	Description	log2(fold change)(Non-lesion-PsA vs lesion-PsA)	-log10(Pvalue)(Non-lesion-PsA vs lesion-PsA)
3885	KRT34	keratin 34	1.948	1.566
3881	KRT31	keratin 31	1.781	3.952
8688	KRT37	keratin 37	-1.351	3.258
3882	KRT32	keratin 32	1.402	1.869
3866	KRT15	keratin 15	0.917	2.878
102466658	MIR6510	microRNA 6510	0.897	2.983
3868	KRT16	keratin 16	-3.504	27.386
3872	KRT17	keratin 17	-0.972	1.867
284116	KRT42P	keratin 42, pseudogene	-1.678	4.43
3728	JUP	junction plakoglobin	-0.502	1.601
47	ACLY	ATP citrate lyase	0.777	2.524
83538	ODAD4	outer dynein arm docking complex subunit 4	0.678	1.333
7266	DNAJC7	DnaJ heat shock protein family (Hsp40) member C7	-0.517	8.066
110806298	C17orf113	chromosome 17 open reading frame 113	0.791	2.884
79132	DHX58	DExH-box helicase 58	-0.669	2.754
6774	STAT3	signal transducer and activator of transcription 3	-0.845	6.807
284119	CAVIN1	caveolae associated protein 1	0.693	4.128
108783654	HSD17B1-AS1	HSD17B1 antisense RNA 1	-1.076	5.815
3292	HSD17B1	hydroxysteroid 17-beta dehydrogenase 1	-1.364	6.846
6945	MLX	MAX dimerization protein MLX	-0.592	3.796
7283	TUBG1	tubulin gamma 1	-0.804	6.555
2145	EZH1	enhancer of zeste 1 polycomb repressive complex 2 subunit	0.697	3.749
100190938	RAMP2-AS1	RAMP2 antisense RNA 1	0.664	1.761
84313	VPS25	vacuolar protein sorting 25 homolog	-0.646	4.848
28958	COA3	cytochrome c oxidase assembly factor 3	-0.734	2.523
10197	PSME3	proteasome activator subunit 3	-0.528	3.768
8639	AOC3	amine oxidase copper containing 3	0.572	1.617
3430	IFI35	interferon induced protein 35	-1.118	6.779
10230	NBR2	neighbor of BRCA1 lncRNA 2	0.731	2.613
100130581	LINC00910	long intergenic non-protein coding RNA 910	0.581	2.235
50964	SOST	sclerostin	-2.337	1.695
4355	MPP2	MAGUK p55 scaffold protein 2	0.939	3.606
162417	NAGS	N-acetylglutamate synthase	-0.637	3.832
10900	RUNDC3A	RUN domain containing 3A	-0.686	1.641
284069	FAM171A2	family with sequence similarity 171 member A2	1.341	5.498
2670	GFAP	glial fibrillary acidic protein	0.82	2.022
146909	KIF18B	kinesin family member 18B	-1.107	5.312
79877	DCAKD	dephospho-CoA kinase domain containing	0.695	5.125
105369225	LOC105369225	uncharacterized LOC105369225	0.771	1.844
55073	LRRC37A4P	leucine rich repeat containing 37 member A4, pseudogene	0.898	1.394
4137	MAPT	microtubule associated protein tau	0.877	4.469
101927060	LOC101927060	uncharacterized LOC101927060	0.519	3.472
3690	ITGB3	integrin subunit beta 3	0.857	2.745
124989	EFCAB13	EF-hand calcium binding domain 13	0.632	1.393
30009	TBX21	T-box transcription factor 21	-1.002	2.248
102724532	SP2-DT	SP2 divergent transcript	-0.941	1.638
79170	PRR15L	proline rich 15 like	1.2	3.339
29916	SNX11	sorting nexin 11	-0.646	2.276
8631	SKAP1	src kinase associated phosphoprotein 1	-0.858	3.351
3212	HOXB2	homeobox B2	0.508	1.623
100874362	HOXB-AS1	HOXB cluster antisense RNA 1	0.766	2.389
3213	HOXB3	homeobox B3	1.016	3.16
3214	HOXB4	homeobox B4	0.64	2.288
404266	HOXB-AS3	HOXB cluster antisense RNA 3	1.168	2.319
3215	HOXB5	homeobox B5	1.628	4.88
3216	HOXB6	homeobox B6	0.878	4.215
3218	HOXB8	homeobox B8	1.361	4.414
516	ATP5MC1	ATP synthase membrane subunit c locus 1	-0.723	2.633
124872	B4GALNT2	beta-1,4-N-acetyl-galactosaminyltransferase 2	-1.09	1.876
2793	GNGT2	G protein subunit gamma transducin 2	-0.872	2.704
51225	ABI3	ABI family member 3	-0.599	5.397
22834	ZNF652	zinc finger protein 652	0.84	4.962
5245	PHB1	prohibitin 1	-0.533	1.996
11248	NXPH3	neurexophilin 3	1.335	11.723
81558	FAM117A	family with sequence similarity 117 member A	0.938	6.82
284080	PICART1	p53 inducible cancer associated RNA transcript 1	0.757	1.499
105371818	LOC105371818	uncharacterized LOC105371818	0.993	2.097
6442	SGCA	sarcoglycan alpha	0.931	1.734
51264	MRPL27	mitochondrial ribosomal protein L27	-0.988	3.971
146956	EME1	essential meiotic structure-specific endonuclease 1	-0.584	5.057
55379	LRRC59	leucine rich repeat containing 59	-0.796	5.04
80221	ACSF2	acyl-CoA synthetase family member 2	0.719	3.295
1101	CHAD	chondroadherin	2.055	14.959
84073	MYCBPAP	MYCBP associated protein	-1.937	5.953
55040	EPN3	epsin 3	-1.488	5.984
105371824	LOC105371824	uncharacterized LOC105371824	-1.52	4.953
8913	CACNA1G	calcium voltage-gated channel subunit alpha1 G	1.117	3.793
8714	ABCC3	ATP binding cassette subfamily C member 3	0.878	2.336
654364	NME1-NME2	NME1-NME2 readthrough	-0.885	3.099
4830	NME1	NME/NM23 nucleoside diphosphate kinase 1	-1.405	6.806
4831	NME2	NME/NM23 nucleoside diphosphate kinase 2	-0.755	2.395
51096	UTP18	UTP18 small subunit processome component	-0.543	2.419
10040	TOM1L1	target of myb1 like 1 membrane trafficking protein	-0.527	2.101
58488	PCTP	phosphatidylcholine transfer protein	1.282	3.054
162282	ANKFN1	ankyrin repeat and fibronectin type III domain containing 1	1.413	8.315
339210	C17orf67	chromosome 17 open reading frame 67	-0.52	1.713
7706	TRIM25	tripartite motif containing 25	-0.833	6.311
100500827	MIR3614	microRNA 3614	-0.924	3.833
8165	AKAP1	A-kinase anchoring protein 1	0.614	3.746
51649	MRPS23	mitochondrial ribosomal protein S23	-0.849	3.001
100506779	TSPOAP1-AS1	TSPOAP1, SUPT4H1 and RNF43 antisense RNA 1	-0.851	2.744
6827	SUPT4H1	SPT4 homolog, DSIF elongation factor subunit	-0.733	2.351
348235	SKA2	spindle and kinetochore associated complex subunit 2	-0.725	3.43
55771	PRR11	proline rich 11	-1.446	16.342
284161	GDPD1	glycerophosphodiester phosphodiesterase domain containing 1	0.753	2.037
51651	PTRH2	peptidyl-tRNA hydrolase 2	-0.778	3.168
81671	VMP1	vacuole membrane protein 1	-0.634	2.258
105371849	HEATR6-DT	HEATR6 divergent transcript	-1.159	3.007
645638	WFDC21P	WAP four-disulfide core domain 21, pseudogene	-1.056	2.666
339175	METTL2A	methyltransferase 2A, methylcytidine	-0.586	2.463
112268202	LOC112268202		0.801	1.658
107985020	LOC107985020	uncharacterized LOC107985020	0.935	2.279
9902	MRC2	mannose receptor C type 2	0.748	3.263
51204	TACO1	translational activator of cytochrome c oxidase I	-0.618	3.019
80774	LIMD2	LIM domain containing 2	-0.864	5.122
729683	LOC729683	uncharacterized LOC729683	-0.857	3.547
107984986	LOC107984986		-0.541	3.002
6329	SCN4A	sodium voltage-gated channel alpha subunit 4	1.129	2.617
105376843	SNHG25	small nucleolar RNA host gene 25	-0.995	2.986
692227	SNORD104	small nucleolar RNA, C/D box 104	-0.826	1.762
8787	RGS9	regulator of G protein signaling 9	0.551	1.59
8313	AXIN2	axin 2	0.502	1.993
27092	CACNG4	calcium voltage-gated channel auxiliary subunit gamma 4	1.825	4.069
5718	PSMD12	proteasome 26S subunit, non-ATPase 12	-0.688	7.647
26207	PITPNC1	phosphatidylinositol transfer protein cytoplasmic 1	-0.65	3.19
101928045	LOC101928045	uncharacterized LOC101928045	-0.741	4.394
3838	KPNA2	karyopherin subunit alpha 2	-1.383	15.771
100499466	LINC00674	long intergenic non-protein coding RNA 674	0.574	8.878
9120	SLC16A6	solute carrier family 16 member 6	-1.19	7.195
105371874	LOC105371874	uncharacterized LOC105371874	0.881	3.024
10351	ABCA8	ATP binding cassette subfamily A member 8	1.164	6.584
10350	ABCA9	ATP binding cassette subfamily A member 9	1.145	2.667
10349	ABCA10	ATP binding cassette subfamily A member 10	1.158	2.35
400617	KCNJ2-AS1	KCNJ2 antisense RNA 1	-0.614	1.895
3759	KCNJ2	potassium inwardly rectifying channel subfamily J member 2	-1.207	11.275
102606463	LINC01152	long intergenic non-protein coding RNA 1152	1.437	2.786
400618	SOX9-AS1	SOX9 antisense RNA 1	1.402	3.439
101928205	LINC02097	long intergenic non-protein coding RNA 2097	1.728	3.882
6662	SOX9	SRY-box transcription factor 9	0.909	2.219
100499467	LINC00673	long intergenic non-protein coding RNA 673	-1.518	7.145
124602	KIF19	kinesin family member 19	1.264	3.113
55890	GPRC5C	G protein-coupled receptor class C group 5 member C	0.699	3.34
11314	CD300A	CD300a molecule	-0.834	3.506
124599	CD300LB	CD300 molecule like family member b	-0.725	2.083
10871	CD300C	CD300c molecule	-0.945	2.953
342510	CD300E	CD300e molecule	-1.613	5.334
146722	CD300LF	CD300 molecule like family member f	-1.566	3.837
2232	FDXR	ferredoxin reductase	-0.655	3.535
347741	OTOP3	otopetrin 3	-2.658	2.577
283987	HID1	HID1 domain containing	1.135	3.757
3396	MRPL58	mitochondrial ribosomal protein L58	-0.89	3.618
10476	ATP5PD	ATP synthase peripheral stalk subunit d	-0.565	1.737
9121	SLC16A5	solute carrier family 16 member 5	0.593	3.292
30833	NT5C	5', 3'-nucleotidase, cytosolic	-0.592	6.777
107985034	LOC107985034	uncharacterized LOC107985034	-1.065	9.288
51155	JPT1	Jupiter microtubule associated homolog 1	-0.955	6.249
51081	MRPS7	mitochondrial ribosomal protein S7	-1.002	4.262
60386	SLC25A19	solute carrier family 25 member 19	-0.508	3.202
9772	TMEM94	transmembrane protein 94	0.604	2.959
57513	CASKIN2	CASK interacting protein 2	0.729	2.836
283989	TSEN54	tRNA splicing endonuclease subunit 54	-0.514	6.396
107985023	LOC107985023		-0.527	3.761
643008	SMIM5	small integral membrane protein 5	-1.133	4.219
2584	GALK1	galactokinase 1	-0.896	4.854
201294	UNC13D	unc-13 homolog D	-0.604	2.328
23558	WBP2	WW domain binding protein 2	0.507	4.056
100529145	TEN1-CDK3	TEN1-CDK3 readthrough (NMD candidate)	-0.566	1.743
100134934	TEN1	TEN1 subunit of CST complex	-0.702	1.858
8811	GALR2	galanin receptor 2	-0.623	1.712
283991	UBALD2	UBA like domain containing 2	-0.906	11.783
84074	QRICH2	glutamine rich 2	0.668	1.346
79651	RHBDF2	rhomboid 5 homolog 2	-0.801	3.816
55808	ST6GALNAC1	ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 1	-1.758	9.05
439921	MXRA7	matrix remodeling associated 7	0.547	1.636
6427	SRSF2	serine and arginine rich splicing factor 2	-0.562	10.818
693221	MIR636	microRNA 636	-0.756	4.374
57690	TNRC6C	trinucleotide repeat containing adaptor 6C	0.614	2.195
7083	TK1	thymidine kinase 1	-1.419	11.314
107985050	LOC107985050		-1.445	10.66
332	BIRC5	baculoviral IAP repeat containing 5	-1.869	7.684
9021	SOCS3	suppressor of cytokine signaling 3	-2.314	9.868
8632	DNAH17	dynein axonemal heavy chain 17	1	1.503
7077	TIMP2	TIMP metallopeptidase inhibitor 2	0.865	4.021
3959	LGALS3BP	galectin 3 binding protein	-0.863	4.484
84733	CBX2	chromobox 2	-0.588	2.716
125058	TBC1D16	TBC1 domain family member 16	0.778	5.214
9775	EIF4A3	eukaryotic translation initiation factor 4A3	-1.391	12.28
79092	CARD14	caspase recruitment domain family member 14	-0.899	4.502
4884	NPTX1	neuronal pentraxin 1	2.729	11.101
79643	CHMP6	charged multivesicular body protein 6	-0.527	3.098
440465	BAIAP2-DT	BAIAP2 divergent transcript	0.719	5.588
9625	AATK	apoptosis associated tyrosine kinase	1.046	2.817
284184	NDUFAF8	NADH:ubiquinone oxidoreductase complex assembly factor 8	-0.663	4.555
83882	TSPAN10	tetraspanin 10	-0.68	1.882
6182	MRPL12	mitochondrial ribosomal protein L12	-1.015	5.564
1468	SLC25A10	solute carrier family 25 member 10	-0.742	4.834
5034	P4HB	prolyl 4-hydroxylase subunit beta	-0.615	4.744
10189	ALYREF	Aly/REF export factor	-0.835	7.397
51529	ANAPC11	anaphase promoting complex subunit 11	-0.66	1.746
5831	PYCR1	pyrroline-5-carboxylate reductase 1	-0.746	2.739
147111	NOTUM	notum, palmitoleoyl-protein carboxylesterase	0.871	1.493
201254	CENPX	centromere protein X	-1.222	3.899
2194	FASN	fatty acid synthase	2.058	3.033
284001	CCDC57	coiled-coil domain containing 57	0.633	1.827
9123	SLC16A3	solute carrier family 16 member 3	-0.751	3.2
924	CD7	CD7 molecule	-2.292	12.185
6398	SECTM1	secreted and transmembrane 1	-0.801	3.157
64122	FN3K	fructosamine 3 kinase	1.11	15.271
284207	METRNL	meteorin like, glial cell differentiation regulator	-0.518	2.535
107987251	LOC107987251		0.967	3.676
403340	MGC70870	C-terminal binding protein 2 pseudogene	0.911	2.551
81035	COLEC12	collectin subfamily member 12	0.646	3.26
494514	TYMSOS	TYMS opposite strand RNA	-1.419	7.528
7298	TYMS	thymidylate synthetase	-1.026	12.819
64863	METTL4	methyltransferase 4, N6-adenosine	-0.573	3.909
10403	NDC80	NDC80 kinetochore complex component	-1.504	17.994
8736	MYOM1	myomesin 1	0.702	2.111
104968399	MYL12-AS1	MYL12A and MYL12B antisense RNA 1	-0.558	2.45
103910	MYL12B	myosin light chain 12B	-0.631	2.474
645369	TMEM200C	transmembrane protein 200C	1.451	8.608
284217	LAMA1	laminin subunit alpha 1	1.009	2.043
5797	PTPRM	protein tyrosine phosphatase receptor type M	0.682	3.675
23255	MTCL1	microtubule crosslinking factor 1	-0.783	2.315
9989	PPP4R1	protein phosphatase 4 regulatory subunit 1	-1.053	22.763
11031	RAB31	RAB31, member RAS oncogene family	-0.956	5.568
9218	VAPA	VAMP associated protein A	-0.507	3.819
105371988	LOC105371988	uncharacterized LOC105371988	3.709	22.398
101927350	LINC01254	long intergenic non-protein coding RNA 1254	2.026	6.403
63895	PIEZO2	piezo type mechanosensitive ion channel component 2	0.865	3.268
3613	IMPA2	inositol monophosphatase 2	-0.692	3.156
1149	CIDEA	cell death inducing DFFA like effector a	2.255	2.592
84617	TUBB6	tubulin beta 6 class V	-1.157	13.227
5771	PTPN2	protein tyrosine phosphatase non-receptor type 2	-0.932	7.83
81929	SEH1L	SEH1 like nucleoporin	-0.708	4.149
753	LDLRAD4	low density lipoprotein receptor class A domain containing 4	0.617	4.992
125228	FAM210A	family with sequence similarity 210 member A	-0.642	4.855
4161	MC5R	melanocortin 5 receptor	1.78	1.396
162655	ZNF519	zinc finger protein 519	0.843	5.595
80000	GREB1L	GREB1 like retinoic acid receptor coactivator	1.661	6.995
6632	SNRPD1	small nuclear ribonucleoprotein D1 polypeptide	-1.044	5.487
2627	GATA6	GATA binding protein 6	1.741	5.235
91768	CABLES1	Cdk5 and Abl enzyme substrate 1	0.697	8.473
85019	TMEM241	transmembrane protein 241	-1.112	19.951
147463	ANKRD29	ankyrin repeat domain 29	-0.634	3.281
25925	ZNF521	zinc finger protein 521	0.673	3.095
1000	CDH2	cadherin 2	1.911	5.125
1824	DSC2	desmocollin 2	-1.556	11.629
147409	DSG4	desmoglein 4	2.697	2.823
1830	DSG3	desmoglein 3	-1.602	18.233
1829	DSG2	desmoglein 2	1.131	5.784
100652770	DSG2-AS1	DSG2 antisense RNA 1	1.29	6.539
54941	RNF125	ring finger protein 125	0.578	3.536
51444	RNF138	ring finger protein 138	-0.656	4.225
374864	CCDC178	coiled-coil domain containing 178	-1.291	1.923
1837	DTNA	dystrobrevin alpha	1.025	8.97
105372061	LOC105372061	uncharacterized LOC105372061	0.936	2.907
125476	INO80C	INO80 complex subunit C	-0.956	6.892
83608	C18orf21	chromosome 18 open reading frame 21	-0.531	1.766
25800	SLC39A6	solute carrier family 39 member 6	-0.851	6.672
80206	FHOD3	formin homology 2 domain containing 3	1.014	9.78
105372087	LOC105372087	uncharacterized LOC105372087	-1.355	1.973
26040	SETBP1	SET binding protein 1	0.548	2.187
6563	SLC14A1	solute carrier family 14 member 1 (Kidd blood group)	1.82	4.563
284266	SIGLEC15	sialic acid binding Ig like lectin 15	0.838	1.706
9050	PSTPIP2	proline-serine-threonine phosphatase interacting protein 2	-0.707	3.469
115106	HAUS1	HAUS augmin like complex subunit 1	-1.004	3.785
494470	RNF165	ring finger protein 165	1.163	2.6
125336	LOXHD1	lipoxygenase homology PLAT domains 1	-0.935	2.058
9388	LIPG	lipase G, endothelial type	-1.22	2.029
10449	ACAA2	acetyl-CoA acyltransferase 2	1.213	2.152
220134	SKA1	spindle and kinetochore associated complex subunit 1	-1.642	11.763
5596	MAPK4	mitogen-activated protein kinase 4	1.649	8.279
105372117	LOC105372117	replaced by ID 107985152	0.632	1.685
9352	TXNL1	thioredoxin like 1	-0.652	2.549
23327	NEDD4L	NEDD4 like E3 ubiquitin protein ligase	0.818	4.066
101927322	MALT1-AS1	MALT1 antisense RNA 1	-0.53	1.537
90701	SEC11C	SEC11 homolog C, signal peptidase complex subunit	-0.688	1.83
147372	CCBE1	collagen and calcium binding EGF domains 1	1.06	6.079
5366	PMAIP1	phorbol-12-myristate-13-acetate-induced protein 1	-1.022	3.028
28316	CDH20	cadherin 20	1.815	9.688
54877	ZCCHC2	zinc finger CCHC-type containing 2	0.715	2.293
596	BCL2	BCL2 apoptosis regulator	0.956	6.921
89777	SERPINB12	serpin family B member 12	-1.121	2.515
5275	SERPINB13	serpin family B member 13	-2.627	24.133
6318	SERPINB4	serpin family B member 4	-6.753	18.706
6317	SERPINB3	serpin family B member 3	-5.614	31.202
8710	SERPINB7	serpin family B member 7	-1.753	4.817
5055	SERPINB2	serpin family B member 2	-0.989	2.622
5273	SERPINB10	serpin family B member 10	-0.796	1.603
284293	HMSD	histocompatibility minor serpin domain containing	-1.117	2.941
105372165	LOC105372165	uncharacterized LOC105372165	-1.202	5.131
5271	SERPINB8	serpin family B member 8	-1.278	6.559
28513	CDH19	cadherin 19	1.048	3.8
79839	CCDC102B	coiled-coil domain containing 102B	-0.965	3.816
220164	DOK6	docking protein 6	1.263	8.684
10666	CD226	CD226 molecule	-1.291	7.937
81832	NETO1	neuropilin and tolloid like 1	2.381	5.874
125704	DIPK1C	divergent protein kinase domain 1C	0.741	2.548
84735	CNDP1	carnosine dipeptidase 1	2.848	3.698
101927989	ZNF516-AS1	ZNF516 antisense RNA 1	-0.878	2.488
284276	LINC00908	long intergenic non-protein coding RNA 908	0.913	2.265
102723506	LOC102723506	uncharacterized LOC102723506	1.242	1.717
100130522	PARD6G-AS1	PARD6G antisense RNA 1	0.78	2.518
375690	WASH5P	WASP family homolog 5, pseudogene	0.679	1.985
399844	LINC01002	long intergenic non-protein coding RNA 1002	-1.343	2.978
25759	SHC2	SHC adaptor protein 2	1.159	6.514
91978	TPGS1	tubulin polyglutamylase complex subunit 1	-0.507	1.702
3004	GZMM	granzyme M	-1.51	6.905
610	HCN2	hyperpolarization activated cyclic nucleotide gated potassium and sodium channel 2	0.809	3.085
27006	FGF22	fibroblast growth factor 22	1.083	2.931
55658	RNF126	ring finger protein 126	-0.6	5.218
10272	FSTL3	follistatin like 3	0.77	2.548
5064	PALM	paralemmin	1.094	6.031
126353	MISP	mitotic spindle positioning	1.054	1.978
107985343	LINC01836	long intergenic non-protein coding RNA 1836	0.878	1.613
1991	ELANE	elastase, neutrophil expressed	1.102	1.808
1675	CFD	complement factor D	0.626	1.794
91300	R3HDM4	R3H domain containing 4	-0.756	5.517
57418	WDR18	WD repeat domain 18	-0.553	2.837
1265	CNN2	calponin 2	-0.595	3.439
22904	SBNO2	strawberry notch homolog 2	-0.896	3.389
1153	CIRBP	cold inducible RNA binding protein	0.547	4.689
10297	APC2	APC regulator of WNT signaling pathway 2	0.68	3.077
92840	REEP6	receptor accessory protein 6	1.686	2.813
339366	ADAMTSL5	ADAMTS like 5	0.964	3.437
10975	UQCR11	ubiquinol-cytochrome c reductase, complex III subunit XI	-0.697	1.602
4946	OAZ1	ornithine decarboxylase antizyme 1	-0.554	2.216
51690	LSM7	LSM7 homolog, U6 small nuclear RNA and mRNA degradation associated	-1.025	4.337
26517	TIMM13	translocase of inner mitochondrial membrane 13	-0.882	5.335
84823	LMNB2	lamin B2	-0.689	2.39
2788	GNG7	G protein subunit gamma 7	0.938	5.241
148252	DIRAS1	DIRAS family GTPase 1	1.086	7.236
79816	TLE6	TLE family member 6, subcortical maternal complex member	1.155	4.306
7089	TLE2	TLE family member 2, transcriptional corepressor	1.073	9.014
2767	GNA11	G protein subunit alpha 11	0.543	3.174
2769	GNA15	G protein subunit alpha 15	-1.63	15.405
100996351	GNA15-DT	GNA15 divergent transcript	-1.665	13.957
8698	S1PR4	sphingosine-1-phosphate receptor 4	-1.257	8.129
4782	NFIC	nuclear factor I C	0.642	4.077
126321	MFSD12	major facilitator superfamily domain containing 12	0.924	3.269
100128569	TEKTIP1	tektin bundle interacting protein 1	1.172	3.168
126326	GIPC3	GIPC PDZ domain containing family member 3	0.653	2.826
23396	PIP5K1C	phosphatidylinositol-4-phosphate 5-kinase type 1 gamma	0.506	2.999
27134	TJP3	tight junction protein 3	1.201	6.492
116541	MRPL54	mitochondrial ribosomal protein L54	-0.786	2.059
51548	SIRT6	sirtuin 6	-0.552	5.568
10148	EBI3	Epstein-Barr virus induced 3	-1.536	4.563
729359	PLIN4	perilipin 4	1.014	1.451
29128	UHRF1	ubiquitin like with PHD and ring finger domains 1	-1.072	4.127
23030	KDM4B	lysine demethylase 4B	0.562	2.354
5802	PTPRS	protein tyrosine phosphatase receptor type S	0.572	2.092
107985320	LOC107985320	uncharacterized LOC107985320	-0.833	2.174
125988	MICOS13	mitochondrial contact site and cristae organizing system subunit 13	-0.683	1.941
4902	NRTN	neurturin	0.523	1.557
2525	FUT3	fucosyltransferase 3 (Lewis blood group)	-2.314	9.005
126328	NDUFA11	NADH:ubiquinone oxidoreductase subunit A11	-0.778	2.051
5990	RFX2	regulatory factor X2	0.763	2.948
8192	CLPP	caseinolytic mitochondrial matrix peptidase proteolytic subunit	-0.524	2.994
79085	SLC25A23	solute carrier family 25 member 23	0.516	3.985
92359	CRB3	crumbs cell polarity complex component 3	-0.573	1.872
10382	TUBB4A	tubulin beta 4A class IVa	1.195	5.339
326342	ADGRE4P	adhesion G protein-coupled receptor E4, pseudogene	1.058	1.538
3643	INSR	insulin receptor	0.777	3.622
57662	CAMSAP3	calmodulin regulated spectrin associated protein family member 3	0.943	5.033
100131801	PET100	PET100 cytochrome c oxidase chaperone	-0.643	1.504
126003	TRAPPC5	trafficking protein particle complex subunit 5	-0.729	2.095
339390	CLEC4G	C-type lectin domain family 4 member G	-1.246	2.008
100507588	TGFBR3L	transforming growth factor beta receptor 3 like	0.922	2.862
10469	TIMM44	translocase of inner mitochondrial membrane 44	-0.593	4.555
4701	NDUFA7	NADH:ubiquinone oxidoreductase subunit A7	-0.703	2.236
81794	ADAMTS10	ADAM metallopeptidase with thrombospondin type 1 motif 10	0.711	1.58
84527	ZNF559	zinc finger protein 559	0.553	2.739
100529215	ZNF559-ZNF177	ZNF559-ZNF177 readthrough	0.744	3.913
7730	ZNF177	zinc finger protein 177	0.822	2.271
93134	ZNF561	zinc finger protein 561	-0.696	3.238
54811	ZNF562	zinc finger protein 562	-0.701	5.207
729648	ZNF812P	zinc finger protein 812, pseudogene	-3.387	7.504
59286	UBL5	ubiquitin like 5	-0.853	2.667
55337	SHFL	shiftless antiviral inhibitor of ribosomal frameshifting	-0.812	6.839
83854	ANGPTL6	angiopoietin like 6	-0.716	6.032
51073	MRPL4	mitochondrial ribosomal protein L4	-0.704	4.601
3383	ICAM1	intercellular adhesion molecule 1	-0.958	3.8
255809	C19orf38	chromosome 19 open reading frame 38	-0.825	3.321
3949	LDLR	low density lipoprotein receptor	-0.623	2.254
147841	SPC24	SPC24 component of NDC80 kinetochore complex	-1.06	5.187
25959	KANK2	KN motif and ankyrin repeat domains 2	0.785	4.633
126074	SWSAP1	SWIM-type zinc finger 7 associated protein 1	-0.721	4.639
2057	EPOR	erythropoietin receptor	0.572	2.558
57139	RGL3	ral guanine nucleotide dissociation stimulator like 3	0.879	1.495
1264	CNN1	calponin 1	0.816	1.71
84337	ELOF1	elongation factor 1	-0.571	3.305
54	ACP5	acid phosphatase 5, tartrate resistant	-0.711	3.479
439	GET3	guided entry of tail-anchored proteins factor 3, ATPase	-0.656	2.405
3726	JUNB	JunB proto-oncogene, AP-1 transcription factor subunit	-1.164	10.619
10535	RNASEH2A	ribonuclease H2 subunit A	-0.915	5.845
22983	MAST1	microtubule associated serine/threonine kinase 1	0.776	2.414
811	CALR	calreticulin	-0.609	4.472
90480	GADD45GIP1	GADD45G interacting protein 1	-0.705	3.622
4784	NFIX	nuclear factor I X	0.792	5.518
4066	LYL1	LYL1 basic helix-loop-helix family member	0.621	4.862
9592	IER2	immediate early response 2	-0.857	9.638
28974	C19orf53	chromosome 19 open reading frame 53	-0.72	2.337
65249	ZSWIM4	zinc finger SWIM-type containing 4	-0.539	1.622
79173	BRME1	break repair meiotic recombinase recruitment factor 1	-0.545	3.409
79883	PODNL1	podocan like 1	-0.687	2.651
342979	PALM3	paralemmin 3	1.287	2.706
113230	MISP3	MISP family member 3	0.766	7.159
55723	ASF1B	anti-silencing function 1B histone chaperone	-1.338	10.692
10212	DDX39A	DExD-box helicase 39A	-1.492	23.93
10755	GIPC1	GIPC PDZ domain containing family member 1	-0.931	8.81
3337	DNAJB1	DnaJ heat shock protein family (Hsp40) member B1	-0.83	3.827
4713	NDUFB7	NADH:ubiquinone oxidoreductase subunit B7	-0.681	1.58
26659	OR7A5	olfactory receptor family 7 subfamily A member 5	1.048	1.302
6511	SLC1A6	solute carrier family 1 member 6	1.422	3.983
79852	EPHX3	epoxide hydrolase 3	-1.611	9.858
64926	RASAL3	RAS protein activator like 3	-0.712	2.143
114770	PGLYRP2	peptidoglycan recognition protein 2	-1.341	1.743
4051	CYP4F3	cytochrome P450 family 4 subfamily F member 3	0.941	2.153
652995	UCA1	urothelial cancer associated 1	-1.612	4.779
8529	CYP4F2	cytochrome P450 family 4 subfamily F member 2	1.595	1.464
57834	CYP4F11	cytochrome P450 family 4 subfamily F member 11	-1.502	2.156
7171	TPM4	tropomyosin 4	-0.512	2.615
84941	HSH2D	hematopoietic SH2 domain containing	-1.6	6.506
26017	FAM32A	family with sequence similarity 32 member A	-0.504	2.324
284434	NWD1	NACHT and WD repeat domain containing 1	1.201	2.232
93323	HAUS8	HAUS augmin like complex subunit 8	-0.525	3.71
83878	USHBP1	USH1 protein network component harmonin binding protein 1	0.532	1.376
64981	MRPL34	mitochondrial ribosomal protein L34	-0.559	1.569
79016	DDA1	DET1 and DDB1 associated 1	-0.553	5.148
684	BST2	bone marrow stromal cell antigen 2	-0.869	3.09
105221694	BISPR	BST2 interferon stimulated positive regulator	-0.71	2.974
376497	SLC27A1	solute carrier family 27 member 1	0.684	3.099
199786	NIBAN3	niban apoptosis regulator 3	-0.763	2.58
3718	JAK3	Janus kinase 3	-1.187	4.62
6142	RPL18A	ribosomal protein L18a	-0.745	1.621
3594	IL12RB1	interleukin 12 receptor subunit beta 1	-1.551	7.773
10437	IFI30	IFI30 lysosomal thiol reductase	-1.363	12.409
80726	IQCN	IQ motif containing N	0.991	1.599
25804	LSM4	LSM4 homolog, U6 small nuclear RNA and mRNA degradation associated	-0.57	2.297
54858	PGPEP1	pyroglutamyl-peptidase I	0.628	2.841
9518	GDF15	growth differentiation factor 15	0.816	1.546
1311	COMP	cartilage oligomeric matrix protein	-1.75	1.738
11316	COPE	COPI coat complex subunit epsilon	-0.639	2.857
93436	ARMC6	armadillo repeat containing 6	-0.713	10.052
284439	SLC25A42	solute carrier family 25 member 42	0.681	3.84
729991	BORCS8	BLOC-1 related complex subunit 8	-0.626	2.689
51079	NDUFA13	NADH:ubiquinone oxidoreductase subunit A13	-0.648	1.785
148113	CILP2	cartilage intermediate layer protein 2	1.354	2.147
